##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	subsampled_R2.fastq.gz
1113	25-29	0.04548537459554325
1113	30-34	-0.06870363814061164
1113	35-39	0.05901211102280257
1113	40-44	-0.006799146273074541
1113	45-49	0.13383941614350192
1113	50-54	-0.09879874779684883
1113	55-59	0.06272395027484379
1113	60-64	-0.04157726595728661
1113	65-69	-0.027140197032061053
1113	70-74	-0.09889372403840468
1113	75-79	-0.37845405871090776
1113	80-84	-0.22188554622382384
1113	85-89	-0.42889294588532323
1113	90-94	-0.36446918074500445
1113	95-99	-0.13909188596263533
1113	100-104	-0.25674217215022566
1113	105-109	-0.3013715997069184
1113	110-114	-0.2763245406372903
1113	115-119	0.0088963282092962
1113	120-124	-0.5784060623025837
1113	125-129	-0.14399014244318664
1113	130-134	-0.388360872628688
1113	135-139	-0.16033257448839322
1113	140-144	-0.3095919857196776
1113	145-149	-0.3184241846080411
1113	150	0.06036056752636654
1114	1	0.3655529234655006
1114	2	-0.16900140434032096
1114	3	0.028456367691092055
1114	4	0.2569640447566428
1114	5	0.40948170369143355
1114	6	0.39969008014558227
1114	7	0.2383040290859526
1114	8	0.0352011811094215
1114	9	0.20663179892768824
1114	10-14	0.15329390035054047
1114	15-19	0.06167897019744828
1114	20-24	0.09615174132746773
1114	25-29	0.08352959228262336
1114	30-34	0.2601398992743569
1114	35-39	0.07959034231532058
1114	40-44	-0.09836377212340608
1114	45-49	-0.07918779474085369
1114	50-54	0.06575907533239445
1114	55-59	-0.07873863475917631
1114	60-64	-0.0887711435083034
1114	65-69	0.12146524514481172
1114	70-74	0.20239879296840257
1114	75-79	0.18892689367003612
1114	80-84	0.08675390955848172
1114	85-89	0.03799480921672682
1114	90-94	0.32267367639784794
1114	95-99	0.023050971180218482
1114	100-104	-0.03524557351076396
1114	105-109	0.28308418260601087
1114	110-114	0.45921967704978073
1114	115-119	0.24098816494398534
1114	120-124	0.14217216898993001
1114	125-129	-0.15121803359964758
1114	130-134	0.204428243017567
1114	135-139	0.35259259557963674
1114	140-144	0.3434012115592395
1114	145-149	0.09623567933753918
1114	150	0.30185716616582425
1115	1	0.19928308219565594
1115	2	-0.1130490233879371
1115	3	-0.0794801402454155
1115	4	0.1704561082487075
1115	5	-0.17702623281650176
1115	6	0.05445198490748737
1115	7	-0.29820390742197844
1115	8	0.07805832396656598
1115	9	0.01893338622927132
1115	10-14	-0.053848956792322156
1115	15-19	0.17509166861013625
1115	20-24	-0.12051492533919372
1115	25-29	-0.13397040771737778
1115	30-34	0.15315577229022637
1115	35-39	0.16586018358516696
1115	40-44	0.1330647993051599
1115	45-49	0.12676458621152875
1115	50-54	0.31925113882445544
1115	55-59	-0.09373863475917688
1115	60-64	-0.05881082604798138
1115	65-69	0.04329064197020216
1115	70-74	0.13970038026999276
1115	75-79	0.10154594128908911
1115	80-84	0.025960258764840205
1115	85-89	0.1550979838198998
1115	90-94	-0.09589775217357754
1115	95-99	0.4059874791167317
1115	100-104	-0.03651541478060949
1115	105-109	0.1898302143520354
1115	110-114	0.09183872466882548
1115	115-119	0.2748373712931951
1115	120-124	0.35669597851374135
1115	125-129	0.1302502203686018
1115	130-134	0.1364917350810657
1115	135-139	0.24465608764311497
1115	140-144	0.43498851314653564
1115	145-149	0.4366325047343622
1115	150	-0.5314761671675114
1116	1	0.09700453636872197
1116	2	0.04094483221881973
1116	3	0.22549937844377865
1116	4	-0.22636928857669147
1116	5	-0.03084087695372517
1116	6	0.2800664242315989
1116	7	-0.045835755860281324
1116	8	-0.03388484039595596
1116	9	0.07544900322876202
1116	10-14	0.22883153475913076
1116	15-19	0.06968972288561304
1116	20-24	0.26711948326295243
1116	25-29	0.08404034497079493
1116	30-34	0.09600011432812039
1116	35-39	-0.014388152308335123
1116	40-44	0.18072224938196513
1116	45-49	0.2646294095602215
1116	50-54	0.17726445167648563
1116	55-59	0.1785731931978134
1116	60-64	0.1309869210078176
1116	65-69	-0.20407238926379279
1116	70-74	0.17712997576410316
1116	75-79	-0.041772031061135806
1116	80-84	0.34261412461224694
1116	85-89	-0.0106342230413361
1116	90-94	0.1229962570430132
1116	95-99	-0.11969096430364345
1116	100-104	0.0681952867042881
1116	105-109	-0.1115394733079711
1116	110-114	-0.045027634778179504
1116	115-119	0.22574622946012113
1116	120-124	0.02190335178563174
1116	125-129	0.0034325040347624736
1116	130-134	0.34227770538316094
1116	135-139	-0.09525686678595946
1116	140-144	0.07157325456999075
1116	145-149	0.12225718471388802
1116	150	-0.1847019736191271
1117	1	-0.21245912472727468
1117	2	0.18069739084040037
1117	3	0.15938006247021264
1117	4	0.06680340218635905
1117	5	0.15707206513722127
1117	6	0.12559369460340974
1117	7	0.30697872788113756
1117	8	-0.1872887787299362
1117	9	0.1143627226224666
1117	10-14	0.048675426454948933
1117	15-19	0.15298419108098216
1117	20-24	0.12647302646803382
1117	25-29	0.09454364850751773
1117	30-34	0.23837283100126427
1117	35-39	0.17358632625106196
1117	40-44	0.05159606723402277
1117	45-49	-0.1706536581946736
1117	50-54	-0.08399996081217864
1117	55-59	0.008269397369339515
1117	60-64	-0.08711451700227713
1117	65-69	0.08622428128938253
1117	70-74	0.022679917466390975
1117	75-79	-0.024787965767707476
1117	80-84	0.06832017461872653
1117	85-89	-0.024726074317413804
1117	90-94	0.033878495674954934
1117	95-99	0.19242848122038225
1117	100-104	0.050537559019346645
1117	105-109	-0.25115276518516083
1117	110-114	-0.32525823459680225
1117	115-119	-0.1684596262206597
1117	120-124	-0.16969530088959317
1117	125-129	-0.23656943922213713
1117	130-134	-0.15677657625953856
1117	135-139	-0.24339134016334896
1117	140-144	0.11573052882831547
1117	145-149	0.016456562871674407
1117	150	-0.16601431977795045
1118	1	-0.3561412914105375
1118	2	0.02115011081119178
1118	3	0.09236821342111767
1118	4	0.2694984800183491
1118	5	0.18923376980713869
1118	6	0.08908401953951994
1118	7	0.12728474533940215
1118	8	-0.26452333679691264
1118	9	0.08727918184779782
1118	10-14	-0.1424361271976764
1118	15-19	0.11745032005971012
1118	20-24	-0.023269746275836667
1118	25-29	-0.14361228099561174
1118	30-34	-0.27633392992675
1118	35-39	0.0077859346018271935
1118	40-44	-0.2873995847955797
1118	45-49	-0.2530858663661988
1118	50-54	1.1169241228259352E-4
1118	55-59	-0.2369893234644067
1118	60-64	-0.2903207302851669
1118	65-69	-0.15491216532351615
1118	70-74	-0.148703135406258
1118	75-79	-0.19455795481480465
1118	80-84	-0.20451330807236445
1118	85-89	-0.2682655213617906
1118	90-94	-0.43757425748644607
1118	95-99	-0.4300482023734986
1118	100-104	-0.4294053531250981
1118	105-109	0.01400704761977778
1118	110-114	-0.2819511218482873
1118	115-119	-0.4488672069568409
1118	120-124	-0.5390537263268698
1118	125-129	-0.2099439289164522
1118	130-134	-0.14537891951686532
1118	135-139	-0.20388123362147326
1118	140-144	-0.26549686006610784
1118	145-149	-0.07664310854124778
1118	150	-0.671972034936104
1119	1	-0.08656572060230161
1119	2	-0.0166002743968221
1119	3	0.27873885356680006
1119	4	0.29905444023686556
1119	5	-0.5117047369865304
1119	6	0.17228895020208057
1119	7	0.12700459405770914
1119	8	0.031246378849537848
1119	9	-0.15028910502712023
1119	10-14	0.080130058542629
1119	15-19	0.10153772725958277
1119	20-24	0.13767716505628158
1119	25-29	-0.10233198963828727
1119	30-34	-0.05149851880473477
1119	35-39	0.17430785643961855
1119	40-44	0.24694696233987656
1119	45-49	0.009654013168756137
1119	50-54	0.20039184369397844
1119	55-59	0.14919921834817274
1119	60-64	0.08474580564423917
1119	65-69	0.005222307291710138
1119	70-74	-0.06737521833102988
1119	75-79	0.23810768463049214
1119	80-84	0.02647142368277855
1119	85-89	0.07032531769129946
1119	90-94	0.1699618119910724
1119	95-99	0.19296622541751418
1119	100-104	-0.08281619497969928
1119	105-109	0.16373390012012834
1119	110-114	0.02840046801023277
1119	115-119	-0.05185081810685688
1119	120-124	0.16638120853795613
1119	125-129	0.17176219238905333
1119	130-134	0.12182937296107355
1119	135-139	-0.05023226317742768
1119	140-144	-0.034960370361673654
1119	145-149	-0.06023324721613221
1119	150	-0.12469650615056338
1120	1	0.10994067856753986
1120	2	-0.17291296896617325
1120	3	0.04342235408564932
1120	4	0.06342662979065494
1120	5	0.16356333634449527
1120	6	0.31023429783265755
1120	7	0.20905232840568289
1120	8	0.05016716750397876
1120	9	0.30782227511816274
1120	10-14	-0.06759045339096303
1120	15-19	-0.1140693291222874
1120	20-24	0.11145786377645095
1120	25-29	-0.1128819723432315
1120	30-34	-0.12258118916101779
1120	35-39	-0.1809878889771923
1120	40-44	-0.09496241157918917
1120	45-49	-0.12575242059119063
1120	50-54	-0.07430895187848563
1120	55-59	-0.1740107436027145
1120	60-64	-0.05953644963074822
1120	65-69	-0.168364686827978
1120	70-74	0.05702464330853729
1120	75-79	-0.10661732401703716
1120	80-84	-0.3884161584687291
1120	85-89	-0.018280700987361342
1120	90-94	-0.11304060931642823
1120	95-99	-0.0052143349422308916
1120	100-104	-0.16857890684409682
1120	105-109	-0.16096343644161237
1120	110-114	-0.14571229573932953
1120	115-119	-0.13640979423968247
1120	120-124	-0.25105912352707094
1120	125-129	0.12621393918946922
1120	130-134	-0.2699935256899124
1120	135-139	0.328647017348338
1120	140-144	-0.00591851633191709
1120	145-149	-0.10046500093456956
1120	150	-0.3478026977797555
1121	1	-0.0999429443030948
1121	2	0.2277616810591283
1121	3	-0.10597889401689287
1121	4	0.3108207940679364
1121	5	-0.24051829630856503
1121	6	-0.12579201351833547
1121	7	-0.43469872573498236
1121	8	0.5619229441948193
1121	9	0.25256843804613993
1121	10-14	0.21458866619075678
1121	15-19	0.2149709812167231
1121	20-24	0.1651600057902769
1121	25-29	0.13242077685562492
1121	30-34	0.21953383866829768
